,statistic,parameter,p.value,null.value,alternative,method,data.name
args[1],413640,NULL,4.57223180913206e-05,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2349.5,NULL,0.0188293072734828,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],9536,NULL,8.77734336804684e-10,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3895.5,NULL,3.73844224633534e-10,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],977.5,NULL,0.837341784938882,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],15383.5,NULL,0.164899242974576,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3226,NULL,0.119487724275275,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],7163.5,NULL,0.167639485681128,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],888289,NULL,0.0800949478708801,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],288552,NULL,0.0576398324819486,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2285937,NULL,2.05625353337588e-09,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3045.5,NULL,0.163919933602966,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],16843.5,NULL,1.67032073848578e-07,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],860.5,NULL,0.00377483403537028,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],21080,NULL,0.000234539160874803,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1653.5,NULL,0.630727330348672,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],5965,NULL,0.3069403778319,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],810360,NULL,0.0119054074446643,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],96.5,NULL,0.0571810641496725,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2754,NULL,0.0111522907020114,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],6979.5,NULL,0.885340903869925,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],8192,NULL,0.122153543376388,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],7789.5,NULL,0.796805184845806,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
